ID		      n           mean        sigma       rob_mean    rob_sigma            max            min
1131.WFI.dat      25         22.966        0.297         22.931        0.339         23.437         22.433
1133.WFI.dat       3         22.195        0.910         22.117        0.674         23.220         21.482
1134.WFI.dat      24         22.187        0.306         22.132        0.195         23.296         21.779
1135.WFI.dat      72         23.794        0.147         23.788        0.108         24.240         23.364
1138.WFI.dat      73         22.406        0.274         22.337        0.236         23.313         21.759
1139.WFI.dat       7         22.508        0.299         22.467        0.303         23.076         22.195
113.WFI.dat      93         21.052        0.199         21.076        0.192         21.711         20.618
1140.WFI.dat      64         22.242        0.390         22.171        0.253         24.574         21.650
1141.WFI.dat       3         23.751        0.444         23.719        0.334         24.244         23.383
1142.WFI.dat       6         23.601        0.626         23.512        0.594         24.745         22.958
1146.WFI.dat      44         23.269        0.167         23.261        0.145         23.570         22.712
1149.WFI.dat      11         22.431        0.281         22.399        0.218         23.121         22.042
1151.WFI.dat       4         22.903        0.358         22.857        0.314         23.380         22.519
1154.WFI.dat      30         24.294        0.182         24.306        0.123         24.816         23.897
1157.WFI.dat      16         22.770        0.283         22.744        0.232         23.486         22.394
1159.WFI.dat      70         22.776        0.271         22.731        0.307         23.464         22.148
115.WFI.dat      16         22.622        0.283         22.653        0.225         23.261         22.010
1160.WFI.dat      35         22.272        0.214         22.298        0.210         22.620         21.627
1165.WFI.dat      49         22.616        0.336         22.584        0.299         23.453         21.602
1166.WFI.dat      18         22.449        0.308         22.400        0.226         23.363         21.889
1168.WFI.dat      37         24.014        0.121         24.025        0.096         24.174         23.514
1170.WFI.dat      88         22.983        0.156         22.981        0.161         23.294         22.577
1173.WFI.dat      36         23.674        0.496         23.550        0.605         24.645         23.040
1174.WFI.dat      40         22.692        0.370         22.756        0.364         23.372         21.767
1175.WFI.dat      85         24.107        0.173         24.109        0.138         24.649         23.643
1176.WFI.dat      45         23.165        0.325         23.094        0.224         24.507         22.491
1177.WFI.dat      60         23.977        0.368         23.984        0.364         25.032         23.210
1178.WFI.dat      30         23.089        0.326         23.037        0.214         24.331         22.755
1179.WFI.dat       8         22.637        0.554         22.704        0.575         23.303         21.567
117.WFI.dat      96         21.817        0.124         21.810        0.131         22.088         21.505
1180.WFI.dat      85         23.212        0.179         23.208        0.177         23.685         22.817
1181.WFI.dat      14         23.075        0.365         23.004        0.291         23.845         22.277
1182.WFI.dat       8         23.911        0.609         23.767        0.542         25.095         22.955
1183.WFI.dat       3         24.078        0.564         24.041        0.425         24.702         23.605
1185.WFI.dat       4         22.713        0.451         22.537        0.369         23.370         22.408
1186.WFI.dat      12         25.115        0.552         25.173        0.412         25.686         23.703
1187.WFI.dat      53         22.918        0.405         22.887        0.283         24.274         21.977
1189.WFI.dat       3         23.353        0.423         23.402        0.300         23.642         22.867
118.WFI.dat      84         22.327        0.374         22.339        0.305         23.411         21.178
1191.WFI.dat      76         24.209        0.104         24.219        0.098         24.440         23.757
1192.WFI.dat      66         23.105        0.257         23.076        0.202         24.457         22.724
1194.WFI.dat      26         23.168        0.225         23.204        0.195         23.765         22.780
119.WFI.dat      82         21.873        0.104         21.855        0.079         22.412         21.682
11.WFI.dat      97         19.210        0.109         19.206        0.115         19.456         18.890
1200.WFI.dat      23         24.005        0.410         23.978        0.312         25.391         23.462
1201.WFI.dat      64         24.389        0.313         24.405        0.248         25.155         23.617
1202.WFI.dat       7         23.331        0.459         23.440        0.491         23.794         22.727
1205.WFI.dat      74         24.142        0.089         24.137        0.092         24.383         23.936
1206.WFI.dat      25         23.604        0.345         23.548        0.344         24.329         22.851
1207.WFI.dat      74         23.462        0.202         23.444        0.190         24.060         22.899
120.WFI.dat      83         22.159        0.091         22.164        0.089         22.348         21.849
1210.WFI.dat      71         22.755        0.195         22.746        0.194         23.292         22.196
1211.WFI.dat      20         22.747        0.245         22.738        0.267         23.213         22.295
1212.WFI.dat       6         23.319        0.167         23.285        0.150         23.634         23.145
1213.WFI.dat      45         23.428        0.284         23.423        0.215         24.288         22.715
1218.WFI.dat      10         23.266        0.378         23.311        0.288         23.856         22.392
121.WFI.dat      97         22.250        0.031         22.251        0.024         22.336         22.078
1220.WFI.dat      26         23.682        0.369         23.603        0.253         24.815         23.331
1221.WFI.dat      72         23.503        0.151         23.490        0.116         23.911         23.152
1222.WFI.dat      62         24.458        0.140         24.461        0.116         24.742         23.920
1226.WFI.dat      32         22.916        0.242         22.879        0.204         23.465         22.483
1227.WFI.dat      26         23.599        0.252         23.621        0.206         24.277         23.204
1228.WFI.dat      40         23.245        0.288         23.151        0.204         24.256         22.893
1229.WFI.dat      61         22.616        0.476         22.568        0.518         23.898         21.565
122.WFI.dat      84         22.495        0.114         22.480        0.095         23.039         22.200
1230.WFI.dat      59         23.625        0.360         23.647        0.254         24.500         22.534
1231.WFI.dat      79         24.193        0.108         24.183        0.090         24.522         23.921
1232.WFI.dat       4         23.001        0.445         23.065        0.411         23.385         22.488
1233.WFI.dat      38         23.069        0.380         23.007        0.378         24.430         22.492
1234.WFI.dat      27         23.256        0.197         23.255        0.175         23.729         22.906
1235.WFI.dat      69         23.415        0.211         23.454        0.196         23.798         22.727
1236.WFI.dat      85         23.303        0.210         23.256        0.129         24.382         22.874
1238.WFI.dat      40         22.785        0.488         22.680        0.363         24.749         22.184
