ID		      n           mean        sigma       rob_mean    rob_sigma            max            min
201542.WFI.dat      21         21.470        0.068         21.460        0.046         21.668         21.373
201543.WFI.dat      33         22.679        0.635         22.502        0.479         24.489         21.695
201544.WFI.dat      23         22.412        0.478         22.417        0.352         23.693         21.629
201545.WFI.dat      16         23.893        0.555         23.972        0.500         24.924         22.693
201546.WFI.dat      34         22.058        0.117         22.058        0.096         22.444         21.835
201547.WFI.dat      12         23.570        0.516         23.486        0.311         25.019         23.063
201548.WFI.dat      13         23.227        0.478         23.078        0.431         24.355         22.657
201549.WFI.dat      13         21.964        0.133         21.954        0.110         22.306         21.794
201550.WFI.dat      16         24.331        0.569         24.333        0.684         25.131         23.388
201551.WFI.dat      19         22.219        0.226         22.279        0.218         22.481         21.634
201552.WFI.dat      14         21.884        0.157         21.897        0.150         22.077         21.506
201553.WFI.dat      44         22.121        0.154         22.130        0.164         22.540         21.854
201554.WFI.dat      44         24.108        0.110         24.098        0.123         24.357         23.866
201555.WFI.dat       4         22.423        0.464         22.410        0.422         22.994         21.881
201556.WFI.dat       6         23.914        0.905         23.532        0.964         25.301         23.151
201557.WFI.dat      10         24.001        0.323         23.965        0.315         24.693         23.570
201558.WFI.dat       6         25.169        0.436         25.283        0.470         25.672         24.573
201559.WFI.dat      17         23.211        0.302         23.173        0.267         23.930         22.759
201560.WFI.dat       9         21.954        0.153         21.931        0.175         22.166         21.782
201561.WFI.dat      60         20.777        0.118         20.815        0.127         21.026         20.485
201562.WFI.dat       3         23.737        0.243         23.731        0.188         23.991         23.506
201563.WFI.dat       6         24.200        0.445         24.152        0.472         24.852         23.762
201564.WFI.dat      21         22.571        0.490         22.479        0.429         23.851         21.894
201565.WFI.dat       5         23.309        0.332         23.249        0.338         23.724         23.006
201566.WFI.dat      28         22.106        0.265         22.022        0.279         22.814         21.613
201567.WFI.dat      60         21.685        0.211         21.654        0.139         22.555         21.128
201568.WFI.dat       8         21.058        0.090         21.051        0.081         21.250         20.940
201569.WFI.dat      14         23.089        0.260         23.143        0.296         23.437         22.644
201570.WFI.dat      54         23.276        0.243         23.236        0.162         24.090         22.740
201571.WFI.dat      49         23.603        0.313         23.556        0.191         25.177         23.183
201572.WFI.dat      62         21.862        0.089         21.873        0.086         22.044         21.670
201573.WFI.dat      41         21.944        0.385         21.921        0.281         23.692         21.447
201574.WFI.dat      11         22.048        0.388         21.961        0.343         22.948         21.652
201575.WFI.dat      28         24.724        0.162         24.708        0.184         25.028         24.441
201576.WFI.dat       6         24.220        0.158         24.211        0.173         24.430         23.986
201577.WFI.dat      13         21.530        0.213         21.486        0.209         21.980         21.257
201578.WFI.dat       3         23.665        0.234         23.635        0.161         23.935         23.519
201579.WFI.dat       5         23.693        0.326         23.602        0.282         24.251         23.429
201580.WFI.dat      32         21.480        0.153         21.524        0.145         21.685         21.061
201581.WFI.dat      10         23.661        0.435         23.513        0.346         24.742         23.198
201582.WFI.dat       7         21.628        0.139         21.651        0.134         21.811         21.363
201583.WFI.dat      18         24.719        0.427         24.688        0.418         25.573         23.805
201584.WFI.dat      12         24.297        0.274         24.274        0.299         24.816         23.871
201585.WFI.dat      14         22.411        0.322         22.433        0.319         22.940         21.750
201586.WFI.dat      17         23.017        0.366         22.933        0.176         24.311         22.676
201587.WFI.dat       4         21.897        0.051         21.908        0.042         21.947         21.825
201588.WFI.dat       5         23.702        0.762         23.697        0.761         24.748         22.705
201589.WFI.dat       3         22.426        0.597         22.354        0.420         23.113         22.029
201590.WFI.dat       6         22.967        0.202         22.950        0.210         23.183         22.746
201591.WFI.dat      13         23.645        0.562         23.453        0.636         24.624         22.911
201592.WFI.dat      61         21.869        0.065         21.869        0.045         22.057         21.648
201593.WFI.dat      12         23.516        0.279         23.561        0.271         23.896         22.941
201594.WFI.dat      10         23.686        0.489         23.588        0.512         24.715         23.172
201595.WFI.dat      12         20.863        0.250         20.904        0.262         21.193         20.385
201596.WFI.dat      19         22.374        0.164         22.354        0.193         22.659         22.096
201597.WFI.dat      61         21.713        0.140         21.742        0.134         22.162         21.452
201598.WFI.dat      19         22.514        0.174         22.529        0.183         22.839         22.194
201599.WFI.dat       7         21.479        0.112         21.475        0.127         21.620         21.349
201600.WFI.dat       3         24.013        0.431         24.029        0.332         24.408         23.553
201601.WFI.dat       7         23.596        0.468         23.596        0.493         24.413         22.977
201602.WFI.dat      14         21.463        0.068         21.462        0.074         21.582         21.347
201603.WFI.dat      15         23.329        0.467         23.296        0.499         24.112         22.477
201604.WFI.dat       9         22.610        0.458         22.580        0.373         23.643         21.972
201605.WFI.dat      23         22.749        0.126         22.749        0.100         23.029         22.426
201606.WFI.dat      52         21.621        0.413         21.483        0.376         22.836         20.479
201607.WFI.dat       8         24.508        0.144         24.538        0.147         24.701         24.235
201608.WFI.dat       8         22.892        0.479         22.776        0.497         23.805         22.380
201609.WFI.dat       4         24.879        0.163         24.890        0.149         25.020         24.716
201610.WFI.dat       3         22.206        0.256         22.242        0.174         22.359         21.910
201611.WFI.dat      14         21.503        0.500         21.485        0.606         22.256         20.876
201612.WFI.dat       5         22.306        0.338         22.229        0.297         22.877         22.000
201613.WFI.dat       4         23.867        0.251         23.953        0.213         24.052         23.510
201614.WFI.dat      10         21.304        0.088         21.309        0.088         21.474         21.167
201615.WFI.dat       8         22.844        0.297         22.828        0.322         23.297         22.423
201616.WFI.dat       8         21.394        0.267         21.293        0.164         22.050         21.267
201617.WFI.dat      12         22.868        0.284         22.859        0.270         23.423         22.364
201618.WFI.dat      14         22.777        0.366         22.665        0.374         23.456         22.297
201619.WFI.dat      10         23.765        0.369         23.709        0.380         24.425         23.208
201620.WFI.dat      17         22.774        0.204         22.739        0.195         23.169         22.427
201621.WFI.dat      11         22.400        0.264         22.396        0.271         22.948         22.043
201622.WFI.dat      49         22.236        0.119         22.264        0.096         22.447         21.860
201623.WFI.dat       4         23.670        0.495         23.790        0.433         24.118         22.979
201624.WFI.dat      31         21.665        0.224         21.620        0.231         22.139         21.184
201625.WFI.dat      21         23.668        0.131         23.689        0.117         23.902         23.318
201626.WFI.dat      17         22.706        0.516         22.733        0.566         23.468         22.038
201627.WFI.dat      27         20.667        0.251         20.644        0.200         21.243         20.017
201628.WFI.dat       4         24.110        0.099         24.129        0.087         24.205         23.974
201629.WFI.dat       3         22.622        1.079         22.651        0.833         23.640         21.490
201630.WFI.dat       3         23.060        0.256         23.096        0.174         23.213         22.765
201631.WFI.dat      10         22.654        0.263         22.628        0.285         23.088         22.234
201632.WFI.dat       5         21.816        0.354         21.910        0.308         22.101         21.211
201633.WFI.dat       4         21.025        0.187         21.090        0.158         21.160         20.758
201634.WFI.dat      53         22.521        0.143         22.498        0.156         22.834         22.282
201635.WFI.dat      18         22.981        0.377         22.865        0.326         23.917         22.317
201636.WFI.dat       4         22.722        0.138         22.686        0.124         22.903         22.613
201637.WFI.dat      62         20.452        0.078         20.451        0.052         20.670         20.274
201638.WFI.dat      54         20.524        0.146         20.533        0.149         20.880         20.181
201639.WFI.dat      21         22.797        0.486         22.734        0.431         23.901         22.214
201640.WFI.dat      31         21.246        0.287         21.358        0.321         21.619         20.552
201641.WFI.dat      17         23.708        0.255         23.682        0.203         24.407         23.270
201642.WFI.dat      16         21.396        0.243         21.319        0.178         21.953         20.993
201643.WFI.dat      10         24.569        0.129         24.569        0.127         24.826         24.409
201644.WFI.dat      38         24.170        0.331         24.052        0.404         24.794         23.627
201645.WFI.dat      50         23.854        0.372         23.756        0.419         24.496         23.192
201646.WFI.dat       6         23.274        0.723         23.397        0.781         24.291         22.395
201647.WFI.dat      39         21.785        0.152         21.777        0.149         22.204         21.420
201648.WFI.dat      62         21.992        0.098         22.011        0.097         22.174         21.724
201649.WFI.dat      63         19.743        0.050         19.746        0.034         20.012         19.633
201650.WFI.dat      29         21.990        0.126         21.988        0.123         22.236         21.685
201651.WFI.dat       4         21.234        0.227         21.176        0.191         21.556         21.029
201652.WFI.dat       4         21.923        0.175         21.887        0.152         22.164         21.752
201653.WFI.dat      30         22.857        0.542         22.736        0.605         23.877         22.067
201654.WFI.dat       6         21.616        0.054         21.604        0.056         21.699         21.544
201655.WFI.dat       7         25.143        0.303         25.262        0.324         25.442         24.669
201656.WFI.dat      37         22.998        0.180         22.951        0.220         23.342         22.744
201657.WFI.dat       7         24.125        0.087         24.107        0.093         24.257         24.007
201659.WFI.dat       9         21.481        0.101         21.468        0.103         21.661         21.332
201660.WFI.dat       8         20.883        0.364         21.005        0.379         21.304         20.242
201661.WFI.dat       4         24.459        0.327         24.407        0.303         24.853         24.167
201662.WFI.dat       9         23.187        0.471         23.068        0.504         24.066         22.726
201663.WFI.dat       7         23.635        0.303         23.603        0.344         24.044         23.292
201664.WFI.dat      17         22.172        0.201         22.164        0.204         22.631         21.870
201665.WFI.dat      31         22.377        0.332         22.354        0.363         23.183         21.935
201666.WFI.dat      56         22.867        0.136         22.858        0.134         23.254         22.587
201667.WFI.dat      56         21.457        0.225         21.465        0.240         22.000         20.927
201668.WFI.dat       3         24.042        0.087         24.032        0.062         24.142         23.983
201669.WFI.dat       8         23.176        0.902         23.173        0.926         24.682         21.695
201670.WFI.dat      27         24.768        0.157         24.771        0.114         25.279         24.461
201671.WFI.dat       6         23.990        0.419         23.879        0.464         24.495         23.503
201672.WFI.dat       4         21.924        0.174         21.947        0.159         22.105         21.698
201673.WFI.dat      17         22.035        0.285         22.026        0.288         22.625         21.569
201674.WFI.dat      37         22.001        0.203         21.977        0.181         22.587         21.604
201675.WFI.dat       4         21.943        0.439         21.736        0.320         22.600         21.699
201676.WFI.dat      18         22.282        0.283         22.217        0.291         22.942         21.948
201677.WFI.dat       4         24.731        0.460         24.662        0.427         25.297         24.302
201678.WFI.dat       4         23.725        0.321         23.751        0.275         24.089         23.308
201679.WFI.dat       6         21.571        0.121         21.613        0.098         21.657         21.329
201680.WFI.dat       8         24.699        0.231         24.665        0.256         24.983         24.385
201681.WFI.dat       6         21.572        0.177         21.640        0.191         21.724         21.323
201682.WFI.dat      11         23.459        0.537         23.377        0.520         24.289         22.479
201683.WFI.dat       9         24.682        0.229         24.728        0.234         24.938         24.211
201684.WFI.dat      45         22.297        0.389         22.161        0.306         23.616         21.657
201685.WFI.dat       8         22.928        0.181         22.951        0.198         23.206         22.672
201686.WFI.dat      39         21.804        0.197         21.809        0.237         22.209         21.404
201687.WFI.dat      55         21.964        0.137         21.976        0.147         22.300         21.646
201688.WFI.dat      15         23.294        0.240         23.345        0.169         23.634         22.595
201689.WFI.dat       9         23.595        0.147         23.589        0.161         23.843         23.426
201690.WFI.dat      60         20.028        0.092         20.053        0.085         20.227         19.791
201691.WFI.dat      11         22.675        0.357         22.604        0.418         23.273         22.207
201692.WFI.dat      43         22.295        0.146         22.302        0.156         22.596         21.892
201693.WFI.dat       7         23.188        0.543         23.094        0.592         24.040         22.627
201694.WFI.dat       4         23.201        0.479         23.252        0.438         23.714         22.584
201695.WFI.dat       7         22.063        0.151         22.068        0.149         22.344         21.890
201696.WFI.dat      47         21.914        0.347         21.868        0.246         23.554         21.399
201697.WFI.dat      12         23.537        0.339         23.661        0.272         23.849         22.718
201698.WFI.dat      14         22.759        0.364         22.758        0.390         23.442         22.149
201699.WFI.dat       4         23.424        0.195         23.359        0.165         23.705         23.273
2016.WFI.dat      56         23.968        0.352         23.905        0.299         25.256         23.433
201700.WFI.dat      19         21.202        0.300         21.249        0.191         21.469         20.157
201701.WFI.dat      14         21.747        0.154         21.697        0.158         22.032         21.506
201702.WFI.dat       3         22.440        0.147         22.434        0.113         22.597         22.307
201703.WFI.dat      15         22.243        0.270         22.320        0.126         22.493         21.349
201704.WFI.dat      13         22.599        0.245         22.560        0.119         23.358         22.399
201705.WFI.dat       9         21.576        0.142         21.609        0.137         21.731         21.264
201706.WFI.dat      10         23.801        0.709         23.833        0.802         24.876         22.655
201707.WFI.dat       5         23.302        0.263         23.328        0.259         23.580         22.907
201708.WFI.dat      31         22.731        0.449         22.808        0.405         24.021         22.001
201709.WFI.dat       6         23.420        0.243         23.501        0.243         23.636         22.984
201710.WFI.dat      17         23.474        0.380         23.364        0.394         24.152         22.933
201711.WFI.dat       5         23.468        0.410         23.566        0.392         23.816         22.809
201712.WFI.dat      35         23.709        0.366         23.763        0.293         24.205         22.431
201713.WFI.dat      20         21.721        0.256         21.802        0.268         22.101         21.204
201714.WFI.dat       3         21.409        0.111         21.420        0.081         21.493         21.284
201715.WFI.dat      18         21.253        0.140         21.215        0.140         21.510         21.019
201716.WFI.dat      12         21.522        0.236         21.561        0.247         21.873         21.124
201717.WFI.dat      19         21.393        0.178         21.369        0.154         21.814         21.114
201718.WFI.dat       5         23.583        0.327         23.448        0.259         24.160         23.388
201719.WFI.dat       2         21.600        0.600         21.600        0.293         22.025         21.176
201720.WFI.dat       7         21.924        0.400         22.056        0.413         22.285         21.410
201721.WFI.dat      16         22.897        0.300         22.812        0.306         23.420         22.409
201722.WFI.dat      14         20.259        0.160         20.283        0.162         20.530         19.950
201723.WFI.dat       7         22.288        0.123         22.280        0.126         22.491         22.158
201724.WFI.dat      16         23.323        0.254         23.219        0.274         23.822         22.951
201725.WFI.dat       5         22.435        0.567         22.286        0.557         23.148         21.972
201726.WFI.dat      58         23.224        0.309         23.160        0.293         24.004         22.535
201727.WFI.dat      51         24.009        0.082         24.004        0.079         24.243         23.819
201728.WFI.dat       5         23.750        0.525         23.659        0.494         24.595         23.243
201729.WFI.dat      36         24.166        0.449         24.276        0.414         25.132         23.030
201730.WFI.dat       6         23.680        0.775         23.345        0.798         24.963         22.963
201731.WFI.dat      42         20.823        0.149         20.825        0.137         21.119         20.326
201732.WFI.dat      17         20.817        0.134         20.801        0.130         21.028         20.561
201733.WFI.dat      11         23.554        0.396         23.517        0.372         24.130         22.735
201734.WFI.dat       5         25.137        0.157         25.137        0.162         25.340         24.942
201735.WFI.dat      18         22.105        0.265         22.099        0.279         22.584         21.702
201736.WFI.dat      61         22.719        0.156         22.678        0.179         23.048         22.491
201737.WFI.dat       8         22.461        0.332         22.527        0.375         22.890         22.036
201738.WFI.dat       8         22.677        0.331         22.739        0.300         23.009         21.946
201739.WFI.dat       5         21.904        0.066         21.918        0.065         21.974         21.811
201740.WFI.dat       5         22.096        0.244         22.067        0.245         22.449         21.866
201741.WFI.dat      10         21.941        0.283         21.921        0.327         22.422         21.568
201742.WFI.dat      17         23.326        0.645         23.158        0.556         24.835         22.305
201743.WFI.dat      29         22.757        0.360         22.789        0.365         23.459         22.078
201744.WFI.dat      13         22.666        0.254         22.704        0.295         22.953         22.234
201745.WFI.dat      13         22.282        0.273         22.258        0.328         22.698         21.915
201746.WFI.dat      14         22.705        0.238         22.737        0.278         23.026         22.296
201747.WFI.dat      32         22.387        0.439         22.403        0.411         23.285         21.320
201748.WFI.dat      36         22.257        0.389         22.366        0.380         22.910         21.395
201749.WFI.dat       7         22.592        0.272         22.666        0.292         22.926         22.140
201750.WFI.dat      57         20.033        0.101         20.040        0.088         20.333         19.730
201751.WFI.dat      50         22.879        0.208         22.865        0.176         23.464         22.209
201752.WFI.dat      17         22.680        0.415         22.509        0.380         23.829         22.261
201753.WFI.dat      35         22.127        0.278         22.096        0.284         22.701         21.563
201754.WFI.dat      10         22.546        0.543         22.491        0.557         23.342         21.490
201755.WFI.dat      59         22.857        0.284         22.827        0.141         24.298         22.299
201756.WFI.dat      12         23.145        0.349         23.148        0.420         23.591         22.651
201757.WFI.dat      17         24.746        0.148         24.737        0.154         25.043         24.507
201758.WFI.dat       4         19.839        0.116         19.845        0.108         19.967         19.698
201759.WFI.dat      12         22.608        0.525         22.491        0.396         23.869         21.780
201760.WFI.dat      34         22.794        0.376         22.736        0.273         24.035         22.188
201762.WFI.dat      13         22.552        0.196         22.545        0.130         22.924         22.086
201763.WFI.dat       6         22.622        0.430         22.526        0.474         23.193         22.173
201764.WFI.dat       4         23.219        0.172         23.282        0.143         23.340         22.971
201765.WFI.dat       6         22.322        0.305         22.272        0.280         22.867         21.950
201766.WFI.dat       7         23.332        0.674         23.435        0.743         24.237         22.317
201767.WFI.dat      14         21.672        0.170         21.691        0.189         21.929         21.376
201768.WFI.dat       7         23.301        0.806         23.274        0.763         24.645         21.960
201769.WFI.dat       4         22.810        0.269         22.788        0.238         23.158         22.508
201770.WFI.dat      11         24.191        0.686         24.300        0.656         25.032         22.747
201771.WFI.dat       9         23.896        0.122         23.890        0.137         24.092         23.762
201772.WFI.dat       6         23.401        0.100         23.445        0.108         23.501         23.268
201773.WFI.dat      23         23.743        0.422         23.804        0.423         24.652         22.945
201774.WFI.dat       4         24.793        0.741         24.685        0.658         25.783         24.018
201775.WFI.dat       4         23.568        0.316         23.471        0.269         24.021         23.311
201776.WFI.dat      25         22.469        0.359         22.432        0.320         23.477         21.911
201777.WFI.dat       6         24.789        0.201         24.824        0.199         25.058         24.455
201778.WFI.dat      56         20.091        0.102         20.062        0.099         20.394         19.914
201779.WFI.dat      60         23.547        0.102         23.516        0.088         23.860         23.407
201780.WFI.dat      33         22.834        0.141         22.814        0.102         23.309         22.593
201781.WFI.dat      18         21.711        0.303         21.751        0.233         22.299         20.903
201782.WFI.dat       7         23.148        0.198         23.123        0.204         23.463         22.854
201783.WFI.dat      19         24.475        0.562         24.490        0.551         25.367         23.266
201784.WFI.dat       7         22.354        0.234         22.262        0.236         22.796         22.157
201785.WFI.dat      23         24.165        0.532         24.164        0.557         25.006         22.840
201786.WFI.dat      18         24.564        0.475         24.505        0.448         25.538         23.628
201787.WFI.dat      11         23.950        0.314         23.861        0.347         24.492         23.519
201788.WFI.dat      46         24.134        0.149         24.103        0.119         24.608         23.888
201789.WFI.dat       6         24.615        0.437         24.703        0.488         25.168         24.064
201790.WFI.dat      10         24.672        0.392         24.714        0.357         25.298         23.852
201791.WFI.dat      48         22.109        0.326         22.128        0.301         22.564         21.092
201792.WFI.dat       6         22.183        0.081         22.184        0.091         22.278         22.076
201793.WFI.dat      13         22.771        0.332         22.828        0.335         23.471         22.286
201794.WFI.dat      11         22.953        0.149         22.994        0.146         23.125         22.618
201795.WFI.dat      10         21.945        0.234         21.877        0.247         22.364         21.606
201797.WFI.dat      17         20.657        0.187         20.718        0.198         20.909         20.299
201798.WFI.dat       3         23.194        0.490         23.197        0.380         23.676         22.697
201799.WFI.dat      10         23.126        0.345         23.071        0.370         23.587         22.555
201800.WFI.dat      21         22.849        0.344         22.836        0.390         23.509         22.284
201801.WFI.dat      43         21.636        0.323         21.574        0.310         22.491         21.155
201802.WFI.dat      25         22.348        0.222         22.342        0.156         22.781         21.678
201803.WFI.dat      20         20.998        0.210         21.004        0.207         21.336         20.455
201804.WFI.dat      21         22.089        0.412         22.075        0.483         22.738         21.456
201805.WFI.dat       5         22.641        0.127         22.639        0.132         22.787         22.480
201806.WFI.dat      27         22.074        0.249         22.023        0.116         22.860         21.663
201807.WFI.dat      64         21.236        0.061         21.241        0.068         21.349         21.128
201808.WFI.dat       3         22.538        0.056         22.533        0.041         22.602         22.497
201809.WFI.dat       9         22.913        0.067         22.899        0.074         23.034         22.838
201810.WFI.dat      30         22.489        0.521         22.511        0.513         23.548         21.342
201811.WFI.dat      37         22.609        0.325         22.632        0.362         23.343         21.991
201812.WFI.dat      17         20.129        0.086         20.113        0.102         20.255         19.979
201813.WFI.dat       4         23.687        0.744         23.504        0.672         24.676         23.065
201814.WFI.dat      16         22.142        0.290         22.199        0.316         22.490         21.548
201815.WFI.dat       8         22.389        0.071         22.418        0.059         22.445         22.227
201816.WFI.dat      14         23.769        0.404         23.763        0.412         24.501         23.113
201817.WFI.dat      17         23.029        0.191         23.013        0.187         23.422         22.646
201818.WFI.dat       8         21.536        0.335         21.412        0.305         22.262         21.205
201819.WFI.dat      14         23.234        0.358         23.176        0.345         23.982         22.789
201820.WFI.dat       5         23.818        0.352         23.959        0.271         24.025         23.194
201821.WFI.dat      10         23.376        0.196         23.352        0.147         23.875         23.187
201822.WFI.dat      44         23.793        0.250         23.751        0.212         24.578         23.272
201823.WFI.dat       5         24.498        0.190         24.451        0.187         24.787         24.319
201824.WFI.dat       6         22.566        0.244         22.632        0.264         22.883         22.242
201825.WFI.dat      57         21.613        0.117         21.603        0.106         21.955         21.304
201826.WFI.dat       7         21.560        0.296         21.584        0.310         22.049         21.133
201827.WFI.dat      31         22.780        0.615         22.658        0.607         24.207         21.881
201828.WFI.dat      45         21.756        0.355         21.700        0.232         22.799         21.067
201829.WFI.dat      38         24.199        0.123         24.186        0.116         24.460         23.935
201830.WFI.dat      20         22.713        0.357         22.686        0.321         23.377         21.916
201831.WFI.dat      43         22.123        0.328         22.041        0.269         23.171         21.697
201832.WFI.dat       6         24.409        0.157         24.399        0.178         24.630         24.223
201833.WFI.dat       6         23.956        0.505         23.789        0.517         24.799         23.375
201834.WFI.dat       6         23.265        0.084         23.241        0.083         23.418         23.193
201835.WFI.dat      15         22.906        0.199         22.875        0.210         23.273         22.585
201836.WFI.dat      45         22.500        0.275         22.534        0.267         23.029         21.740
201837.WFI.dat      15         21.676        0.172         21.742        0.132         21.908         21.198
201838.WFI.dat      14         22.607        0.533         22.655        0.574         23.269         21.584
201839.WFI.dat      16         23.013        0.302         23.164        0.336         23.378         22.491
201840.WFI.dat      19         21.622        0.268         21.673        0.264         21.961         20.953
201841.WFI.dat      16         21.192        0.170         21.193        0.177         21.492         20.895
201842.WFI.dat      17         22.651        0.224         22.683        0.211         23.034         22.276
201843.WFI.dat       4         23.460        0.651         23.238        0.507         24.415         22.947
201844.WFI.dat      28         21.609        0.259         21.615        0.198         22.148         20.969
201845.WFI.dat      11         22.987        0.334         22.975        0.349         23.634         22.539
201846.WFI.dat      21         24.281        0.524         24.343        0.422         25.356         22.917
201847.WFI.dat       5         23.055        0.398         23.037        0.402         23.605         22.553
201848.WFI.dat       5         22.490        0.749         22.308        0.745         23.605         21.843
201849.WFI.dat       8         22.530        0.248         22.543        0.225         22.997         22.123
201850.WFI.dat       4         23.534        1.143         23.198        0.932         25.184         22.555
201851.WFI.dat      64         20.642        0.053         20.651        0.051         20.768         20.509
201852.WFI.dat       5         21.392        0.464         21.463        0.451         21.826         20.674
201853.WFI.dat      53         22.143        0.321         22.051        0.285         23.309         21.726
201854.WFI.dat       8         23.119        0.440         23.152        0.403         23.785         22.250
201855.WFI.dat      63         22.329        0.152         22.321        0.173         22.654         22.010
201856.WFI.dat       4         21.553        0.232         21.481        0.204         21.872         21.377
201857.WFI.dat      44         20.397        0.100         20.386        0.089         20.716         20.185
201858.WFI.dat      39         22.350        0.306         22.296        0.146         23.602         21.948
201859.WFI.dat      43         21.791        0.259         21.747        0.232         22.453         21.244
201860.WFI.dat      18         22.787        0.351         22.821        0.379         23.302         22.033
201861.WFI.dat      12         24.928        0.181         24.871        0.133         25.410         24.752
201862.WFI.dat      64         20.046        0.041         20.046        0.044         20.145         19.963
201863.WFI.dat      15         23.582        0.552         23.279        0.561         24.749         23.083
201864.WFI.dat       4         22.925        0.399         22.989        0.368         23.306         22.414
201865.WFI.dat      13         24.004        0.453         23.927        0.419         24.969         23.302
201866.WFI.dat       5         22.647        0.456         22.483        0.408         23.414         22.332
201867.WFI.dat      64         20.244        0.069         20.243        0.072         20.454         20.106
201868.WFI.dat       7         24.221        0.512         24.094        0.514         25.186         23.742
201869.WFI.dat      13         23.057        0.265         23.056        0.228         23.578         22.527
201870.WFI.dat      19         22.079        0.316         22.108        0.354         22.643         21.579
201871.WFI.dat      23         22.927        0.305         22.827        0.327         23.513         22.560
201872.WFI.dat      20         19.742        0.129         19.785        0.109         19.911         19.383
201873.WFI.dat       5         25.360        0.224         25.335        0.221         25.700         25.129
201874.WFI.dat       8         21.606        0.159         21.599        0.184         21.820         21.422
201875.WFI.dat       4         23.821        0.726         23.890        0.680         24.560         22.942
201876.WFI.dat      64         21.700        0.078         21.684        0.082         21.889         21.569
201877.WFI.dat       7         24.549        0.147         24.552        0.145         24.721         24.272
201878.WFI.dat      34         22.578        0.333         22.545        0.370         23.392         22.080
201879.WFI.dat      53         23.479        0.215         23.470        0.197         24.238         23.055
201880.WFI.dat      49         22.394        0.295         22.354        0.287         23.318         21.822
201881.WFI.dat      27         23.457        0.235         23.465        0.214         24.161         22.988
201882.WFI.dat      33         23.968        0.334         23.972        0.296         24.833         23.277
201883.WFI.dat       3         23.480        0.222         23.512        0.150         23.610         23.224
201884.WFI.dat      12         24.584        0.065         24.567        0.064         24.728         24.503
201885.WFI.dat       8         21.599        0.128         21.638        0.139         21.749         21.370
201886.WFI.dat       8         22.961        0.619         22.727        0.583         24.236         22.402
201887.WFI.dat      15         23.062        0.417         23.140        0.464         23.713         22.330
201888.WFI.dat      19         22.105        0.269         22.137        0.172         22.487         21.417
201889.WFI.dat      44         22.757        0.266         22.761        0.215         23.418         22.242
201890.WFI.dat       9         22.972        0.412         22.898        0.449         23.685         22.480
201891.WFI.dat       4         21.678        0.281         21.591        0.223         22.086         21.444
201892.WFI.dat       4         24.155        0.939         23.850        0.759         25.523         23.396
201893.WFI.dat      48         22.528        0.458         22.571        0.442         23.425         21.574
201894.WFI.dat       5         24.814        0.129         24.795        0.130         24.997         24.667
201895.WFI.dat       4         24.635        0.110         24.609        0.094         24.789         24.532
201896.WFI.dat       3         23.716        0.172         23.730        0.128         23.854         23.523
201897.WFI.dat       4         22.151        0.202         22.186        0.179         22.357         21.877
201898.WFI.dat       3         23.741        0.892         23.616        0.605         24.770         23.210
201899.WFI.dat      20         22.960        0.203         22.908        0.197         23.360         22.622
2018.WFI.dat      72         23.528        0.196         23.509        0.188         24.311         23.164
201900.WFI.dat      30         22.647        0.357         22.612        0.345         23.676         22.091
201901.WFI.dat      24         22.990        0.244         22.992        0.221         23.597         22.572
201902.WFI.dat      63         19.498        0.083         19.485        0.085         19.710         19.248
201903.WFI.dat      14         21.205        0.179         21.203        0.209         21.494         20.941
201904.WFI.dat      37         22.187        0.273         22.143        0.242         23.041         21.793
201905.WFI.dat      16         22.005        0.465         21.859        0.383         23.140         21.528
201906.WFI.dat      16         21.667        0.289         21.611        0.283         22.211         21.270
201907.WFI.dat       7         22.655        0.291         22.678        0.332         23.000         22.265
201908.WFI.dat       4         24.176        0.763         24.023        0.660         25.232         23.428
201909.WFI.dat      33         21.988        0.325         21.991        0.248         22.953         21.381
201910.WFI.dat      22         24.461        0.411         24.413        0.395         25.403         23.812
201911.WFI.dat       6         21.478        0.164         21.419        0.175         21.733         21.298
201912.WFI.dat       9         23.472        0.528         23.355        0.572         24.411         22.919
201913.WFI.dat      18         20.075        0.090         20.089        0.096         20.221         19.889
201914.WFI.dat       8         21.927        0.460         22.051        0.463         22.358         21.032
201915.WFI.dat      11         24.498        0.464         24.520        0.357         25.090         23.355
201916.WFI.dat      13         21.947        0.370         21.920        0.355         22.635         21.254
201917.WFI.dat      21         22.315        0.498         22.410        0.510         23.449         21.591
201918.WFI.dat       4         22.967        0.752         23.141        0.670         23.651         21.935
201919.WFI.dat      22         23.388        0.611         23.311        0.583         24.720         22.669
201920.WFI.dat      50         21.251        0.395         21.254        0.470         22.015         20.459
201921.WFI.dat      20         20.971        0.483         20.934        0.526         21.663         19.978
201922.WFI.dat       4         23.724        0.342         23.668        0.316         24.157         23.404
201923.WFI.dat       7         22.565        0.312         22.547        0.320         23.126         22.155
201924.WFI.dat      11         25.086        0.341         25.210        0.322         25.457         24.314
201925.WFI.dat      29         21.578        0.286         21.722        0.271         21.891         20.743
201926.WFI.dat       7         22.219        0.490         22.137        0.522         23.047         21.685
201927.WFI.dat       5         21.265        0.535         21.371        0.537         21.795         20.584
201928.WFI.dat      15         21.951        0.360         21.956        0.385         22.675         21.502
201929.WFI.dat       8         24.511        0.700         24.582        0.662         25.417         23.057
201930.WFI.dat      29         21.426        0.179         21.405        0.176         21.698         20.854
